S,pA,i,SFS_i
1000,0.0001,1,1.0256410256410284e-6
1000,0.0001,2,5.263157894736837e-7
1000,0.0001,3,3.6036036036037553e-7
1000,0.0001,4,2.777777777778225e-7
1000,0.0001,5,2.2857142857148107e-7
1000,0.0001,6,1.960784313723886e-7
1000,0.0001,7,1.731601731593109e-7
1000,0.0001,8,1.5625000000000028e-7
1000,0.0001,9,1.4336917562724996e-7
1000,0.0001,10,1.333333333333255e-7
1000,0.0001,11,1.2539184952978475e-7
1000,0.0001,12,1.1904761904761887e-7
1000,0.0001,13,1.1396011396011653e-7
1000,0.0001,14,1.098901098901071e-7
1000,0.0001,15,1.066666666666669e-7
1000,0.0001,16,1.041666666666672e-7
1000,0.0001,17,1.0230179028132977e-7
1000,0.0001,18,1.010101010100977e-7
1000,0.0001,19,1.0025062656641222e-7
1000,0.0001,20,1.0000000000003566e-7
1000,0.0001,21,1.0025062656641224e-7
1000,0.0001,22,1.010101010100977e-7
1000,0.0001,23,1.023017902813298e-7
1000,0.0001,24,1.0416666666666718e-7
1000,0.0001,25,1.066666666666669e-7
1000,0.0001,26,1.0989010989010713e-7
1000,0.0001,27,1.1396011396011654e-7
1000,0.0001,28,1.1904761904761887e-7
1000,0.0001,29,1.2539184952978475e-7
1000,0.0001,30,1.3333333333332532e-7
1000,0.0001,31,1.433691756272421e-7
1000,0.0001,32,1.5624999999969167e-7
1000,0.0001,33,1.7316017314875107e-7
1000,0.0001,34,1.960784310070874e-7
1000,0.0001,35,2.2857141527895033e-7
1000,0.0001,36,2.7777730008787267e-7
1000,0.0001,37,3.603425931187002e-7
1000,0.0001,38,5.255905321022452e-7
1000,0.0001,39,9.871067417509083e-7